,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Take You Dancing","Jason Derulo",1270268,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
56,"La Tóxica",Farruko,1269626,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
57,"Holy (feat. Chance The Rapper)","Justin Bieber",1264531,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
58,"Life Goes On",BTS,1245771,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
59,"Vida de Rico",Camilo,1227033,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
60,"SO DONE","The Kid LAROI",1225890,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
61,"Put Your Records On","Ritt Momney",1215410,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
62,"Mi Niña",Wisin,1210130,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
63,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",1199402,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
64,"Breaking Me",Topic,1193506,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
65,"death bed (coffee for your head)",Powfu,1192691,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
66,Circles,"Post Malone",1180867,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
67,Golden,"Harry Styles",1178284,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
68,"lovely (with Khalid)","Billie Eilish",1175162,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
69,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1167802,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
70,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1160947,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
71,"The Box","Roddy Ricch",1155517,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
72,"Una Locura",Ozuna,1153919,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
73,Memories,"Maroon 5",1147981,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
74,"Lucid Dreams","Juice WRLD",1145981,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
75,"At My Worst","Pink Sweat$",1127311,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB
76,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1114293,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
77,pov,"Ariana Grande",1106728,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
78,"La Curiosidad","Jay Wheeler",1106424,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
79,Body,"Megan Thee Stallion",1100751,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
80,"Se Te Nota (with Guaynaa)","Lele Pons",1093178,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
81,"Wishing Well","Juice WRLD",1092785,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
82,"Adore You","Harry Styles",1080836,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
83,"Blueberry Faygo","Lil Mosey",1072804,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
84,goosebumps,"Travis Scott",1063358,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
85,"Best Friend (feat. Doja Cat)",Saweetie,1063292,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
86,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,1052567,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
87,Jeans,"Justin Quiles",1044564,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
88,Señorita,"Shawn Mendes",1042586,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
89,"All We Got (feat. KIDDO)","Robin Schulz",1041471,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
90,"Parce (feat. Justin Quiles)",Maluma,1039561,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
91,"Ay, DiOs Mío!","KAROL G",1030828,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
92,"HIGHEST IN THE ROOM","Travis Scott",1016200,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
93,Polvo,"Nicky Jam",1012977,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
94,"Rain On Me (with Ariana Grande)","Lady Gaga",1003651,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
95,"Daddy Issues","The Neighbourhood",1003627,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
96,Daisy,Ashnikko,1003315,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
97,"Heat Waves","Glass Animals",998754,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
98,Robbery,"Juice WRLD",998323,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
99,"Wasted On You","Morgan Wallen",986467,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
100,"Come & Go (with Marshmello)","Juice WRLD",984286,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
101,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",981951,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
102,"Love Not War (The Tampa Beat)","Jason Derulo",980618,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
103,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,976198,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
104,"Reminds Me Of You","Juice WRLD",975826,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
